linha,id_onibus,timestamp,lat,lon,is_eletrico
172K-10,25154,2025-08-28T15:25:30Z,-23.460877,-46.602691500000006,True
172K-10,25081,2025-08-28T15:25:20Z,-23.522242374999998,-46.592854125,False
172K-10,25258,2025-08-28T15:25:42Z,-23.4789975,-46.6085385,True
172K-10,25176,2025-08-28T15:25:11Z,-23.476336,-46.5952705,False
6726-10,66186,2025-08-28T15:25:12Z,-23.74464175,-46.66963762500001,True
6726-10,66933,2025-08-28T15:25:25Z,-23.75634,-46.66749,True
407J-10,48198,2025-08-28T15:25:40Z,-23.5438835,-46.574712250000005,True
407J-10,48674,2025-08-28T15:25:13Z,-23.5477425,-46.539415500000004,True
407J-10,48341,2025-08-28T15:25:00Z,-23.547271000000002,-46.540456875000004,True
407J-10,48919,2025-08-28T15:25:36Z,-23.5428335,-46.557500875,False
407J-10,48934,2025-08-28T15:25:11Z,-23.55371425,-46.40418275,False
407J-10,48745,2025-08-28T15:25:05Z,-23.55371425,-46.40418275,False
407J-10,48673,2025-08-28T15:25:07Z,-23.5297615,-46.443456999999995,False
407J-10,48883,2025-08-28T15:25:42Z,-23.5538775,-46.403907,True
407J-10,48888,2025-08-28T15:25:26Z,-23.572047250000004,-46.4807335,True
407J-10,48743,2025-08-28T15:25:10Z,-23.5585755,-46.5218105,True
407J-10,48935,2025-08-28T15:25:01Z,-23.535334499999998,-46.4282305,False
407J-10,48839,2025-08-28T15:25:25Z,-23.5538775,-46.403907,False
172K-10,25194,2025-08-28T15:25:34Z,-23.5084875,-46.5944315,True
172K-10,25168,2025-08-28T15:25:41Z,-23.466462,-46.60352,False
172K-10,25065,2025-08-28T15:25:32Z,-23.456327,-46.5947025,False
172K-10,25173,2025-08-28T15:25:17Z,-23.456656000000002,-46.5947925,False
172K-10,25163,2025-08-28T15:25:11Z,-23.518721,-46.589920500000005,False
172K-10,25092,2025-08-28T15:25:02Z,-23.456100499999998,-46.59466,False
172K-10,25179,2025-08-28T15:25:22Z,-23.4789755,-46.5991595,True
172K-10,25141,2025-08-28T15:25:22Z,-23.456327,-46.5947025,True
172K-10,25180,2025-08-28T15:25:40Z,-23.456100499999998,-46.59466,True
172K-10,25183,2025-08-28T15:25:20Z,-23.456100499999998,-46.59466,False
172K-10,25251,2025-08-28T15:25:09Z,-23.540700125,-46.588453875,True
172K-10,25172,2025-08-28T15:25:39Z,-23.480353,-46.606736,False
6451-10,71175,2025-08-28T15:25:34Z,-23.618963,-46.702375,True
